run,chunk,gold,found,optional,variable,operator,threshold,unit,statement_type,no_invented_aggregation,no_invented_time_window,no_invented_missing,combine,evidence_verbatim,spec
grounding_run1,K,K10,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""hiv"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K11,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""cirrhosis"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K12,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""kidney disease"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K13,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""heart failure"", ""operator"": ""present"", ""threshold"": null, ""unit"": ""0/1 flag"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K14,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K15,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K16,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K17,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run1,K,K18,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,Q,Q1,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""gcs"", ""operator"": ""<"", ""threshold"": 15, ""unit"": ""points (3-15)"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run2,Q,Q2,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""Respiratory Rate"", ""operator"": "">="", ""threshold"": 22, ""unit"": ""breaths/min"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run2,Q,Q3,True,False,True,True,True,True,True,True,True,True,True,True,"{""variable"": ""Arterial Blood Pressure systolic"", ""operator"": ""<="", ""threshold"": 100, ""unit"": ""mmHg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Death""}}"
grounding_run2,L,L1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""associatedWith"", ""object"": ""Death""}}"
grounding_run2,L,L2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": null, ""threshold"": [1.6, 2.5], ""unit"": ""mmol/L"", ""statement_type"": ""diagnostic_criterion"", ""consequent"": {""predicate"": ""predicts"", ""object"": ""Sepsis""}}"
grounding_run2,L,L3,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""diagnostic_criterion"", ""consequent"": {""predicate"": ""definesOrDiagnoses"", ""object"": ""SepticShock""}}"
grounding_run2,M,M1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": null, ""threshold"": 65, ""unit"": ""mm Hg"", ""statement_type"": ""treatment_target"", ""consequent"": {""predicate"": ""targetOf"", ""object"": ""SepticShock""}}"
grounding_run2,M,M2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": ""<"", ""threshold"": 60, ""unit"": ""mm Hg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""associatedWith"", ""object"": ""OrganHypoperfusion""}}"
grounding_run2,K,K1,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""anchor_age"", ""operator"": "">="", ""threshold"": 65, ""unit"": ""years"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Sepsis""}}"
grounding_run2,K,K2,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""C-Reactive Protein"", ""operator"": "">="", ""threshold"": 100, ""unit"": ""mg/L"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K3,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Lactate"", ""operator"": "">="", ""threshold"": 4, ""unit"": ""mmol/L"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K4,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""White Blood Cells"", ""operator"": "">="", ""threshold"": 30, ""unit"": ""K/uL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K5,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Total Bilirubin"", ""operator"": "">="", ""threshold"": 2, ""unit"": ""mg/dL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K6,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Platelet Count"", ""operator"": ""<="", ""threshold"": 50, ""unit"": ""K/uL"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K7,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""Arterial Blood Pressure mean"", ""operator"": ""<="", ""threshold"": 65, ""unit"": ""mmHg"", ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K8,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""cancer"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K9,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""pneumonia"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K10,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""hiv"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K11,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""cirrhosis"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K12,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""kidney disease"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K13,True,False,True,True,True,True,True,True,True,True,,True,"{""variable"": ""heart failure"", ""operator"": ""present"", ""threshold"": null, ""unit"": null, ""statement_type"": ""risk_condition"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K14,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K15,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K16,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K17,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
grounding_run2,K,K18,True,True,True,True,True,True,True,True,True,True,,True,"{""variable"": null, ""operator"": null, ""threshold"": null, ""unit"": null, ""statement_type"": ""not_groundable"", ""consequent"": {""predicate"": ""increasesRiskOf"", ""object"": ""Death""}}"
